display_name,training_phrase
small_talk.agent_redirect,agent
small_talk.agent_redirect,can i please speak to a manager
small_talk.agent_redirect,can i speak with a person?
small_talk.agent_redirect,can i talk to a real person
small_talk.agent_redirect,can you escalate this to a human
small_talk.agent_redirect,human please
small_talk.agent_redirect,i need to speak to a real person
small_talk.agent_redirect,i need to talk to someone
small_talk.agent_redirect,i only want to speak to a human
small_talk.agent_redirect,live agent
small_talk.agent_redirect,live human now please
small_talk.agent_redirect,live rep please
small_talk.agent_redirect,manager
small_talk.agent_redirect,no robots real human
small_talk.agent_redirect,operator
small_talk.agent_redirect,please transfer me
small_talk.agent_redirect,real person please
small_talk.agent_redirect,redirect me to a representative 
small_talk.agent_redirect,redirect me to customer service please
small_talk.agent_redirect,representative
small_talk.agent_redirect,talk to human
small_talk.agent_redirect,this is frustrating
small_talk.agent_redirect,this isn't working
small_talk.agent_redirect,transfer me to a real person
small_talk.agent_redirect,transition me to a customer helper
small_talk.agent_redirect,zero
small_talk.confirmation.no,I disagree
small_talk.confirmation.no,I don't think so
small_talk.confirmation.no,I don't want
small_talk.confirmation.no,I don't want that
small_talk.confirmation.no,I don't want to
small_talk.confirmation.no,I said no
small_talk.confirmation.no,I say no
small_talk.confirmation.no,I think no
small_talk.confirmation.no,I'm not
small_talk.confirmation.no,absolutely no
small_talk.confirmation.no,absolutely not
small_talk.confirmation.no,actually no
small_talk.confirmation.no,apparently not
small_talk.confirmation.no,definitely not
small_talk.confirmation.no,disagree
small_talk.confirmation.no,do not
small_talk.confirmation.no,don t have a sense
small_talk.confirmation.no,don't
small_talk.confirmation.no,don't do that
small_talk.confirmation.no,how about no
small_talk.confirmation.no,it isn't
small_talk.confirmation.no,it's not
small_talk.confirmation.no,let's not
small_talk.confirmation.no,na
small_talk.confirmation.no,nah
small_talk.confirmation.no,never
small_talk.confirmation.no,no
small_talk.confirmation.no,no 
small_talk.confirmation.no,no I 
small_talk.confirmation.no,no I would not
small_talk.confirmation.no,no actually
small_talk.confirmation.no,no but thank you
small_talk.confirmation.no,no do not
small_talk.confirmation.no,no don't
small_talk.confirmation.no,no forget
small_talk.confirmation.no,no incorrect
small_talk.confirmation.no,no just no
small_talk.confirmation.no,no leave it
small_talk.confirmation.no,no need
small_talk.confirmation.no,no need thanks
small_talk.confirmation.no,no never
small_talk.confirmation.no,no sorry
small_talk.confirmation.no,no tanks
small_talk.confirmation.no,no thank you though
small_talk.confirmation.no,no thank you very much
small_talk.confirmation.no,no thanks
small_talk.confirmation.no,no thanks not right now
small_talk.confirmation.no,no that's fine
small_talk.confirmation.no,no that's wrong
small_talk.confirmation.no,no way
small_talk.confirmation.no,nooo
small_talk.confirmation.no,nope
small_talk.confirmation.no,nope sorry
small_talk.confirmation.no,not at this time
small_talk.confirmation.no,not exactly
small_talk.confirmation.no,not for today
small_talk.confirmation.no,not interested
small_talk.confirmation.no,not needed
small_talk.confirmation.no,not really
small_talk.confirmation.no,not really no
small_talk.confirmation.no,not right now
small_talk.confirmation.no,not right now thanks
small_talk.confirmation.no,not that
small_talk.confirmation.no,not this
small_talk.confirmation.no,not this time
small_talk.confirmation.no,not today
small_talk.confirmation.no,of course not
small_talk.confirmation.no,sorry no
small_talk.confirmation.no,thank you
small_talk.confirmation.no,thanks but no thanks
small_talk.confirmation.yes,I agree
small_talk.confirmation.yes,I do
small_talk.confirmation.yes,I don't mind
small_talk.confirmation.yes,I guess
small_talk.confirmation.yes,I think so
small_talk.confirmation.yes,I'm sure
small_talk.confirmation.yes,absolutely
small_talk.confirmation.yes,affirmative
small_talk.confirmation.yes,all right
small_talk.confirmation.yes,alrighty
small_talk.confirmation.yes,certainly
small_talk.confirmation.yes,confirmed
small_talk.confirmation.yes,definitely
small_talk.confirmation.yes,do it
small_talk.confirmation.yes,exactly
small_talk.confirmation.yes,fine
small_talk.confirmation.yes,for sure
small_talk.confirmation.yes,go ahead
small_talk.confirmation.yes,go for it
small_talk.confirmation.yes,good
small_talk.confirmation.yes,it is correct
small_talk.confirmation.yes,k
small_talk.confirmation.yes,looks correct
small_talk.confirmation.yes,obviously
small_talk.confirmation.yes,of course
small_talk.confirmation.yes,of course why not
small_talk.confirmation.yes,oh yes
small_talk.confirmation.yes,ok
small_talk.confirmation.yes,ok 
small_talk.confirmation.yes,ok go ahead
small_talk.confirmation.yes,ok thank you
small_talk.confirmation.yes,ok yes
small_talk.confirmation.yes,ok you can
small_talk.confirmation.yes,okay
small_talk.confirmation.yes,okay sounds 
small_talk.confirmation.yes,okay that's 
small_talk.confirmation.yes,okay then
small_talk.confirmation.yes,okey
small_talk.confirmation.yes,okie dokie
small_talk.confirmation.yes,please do
small_talk.confirmation.yes,right
small_talk.confirmation.yes,sounds good
small_talk.confirmation.yes,sure
small_talk.confirmation.yes,sure why not
small_talk.confirmation.yes,that is ok
small_talk.confirmation.yes,that's correct
small_talk.confirmation.yes,that's okay
small_talk.confirmation.yes,this is correct
small_talk.confirmation.yes,why not
small_talk.confirmation.yes,ya
small_talk.confirmation.yes,yap
small_talk.confirmation.yes,ye
small_talk.confirmation.yes,yea
small_talk.confirmation.yes,yeah
small_talk.confirmation.yes,yeah 
small_talk.confirmation.yes,yeah exactly
small_talk.confirmation.yes,yeah go ahead
small_talk.confirmation.yes,yeah of course
small_talk.confirmation.yes,yeah right
small_talk.confirmation.yes,yeah that's right
small_talk.confirmation.yes,yeh
small_talk.confirmation.yes,yep
small_talk.confirmation.yes,yes
small_talk.confirmation.yes,yes I agree
small_talk.confirmation.yes,yes I do
small_talk.confirmation.yes,yes I would like to confirm
small_talk.confirmation.yes,yes correct
small_talk.confirmation.yes,yes definitely
small_talk.confirmation.yes,yes indeed
small_talk.confirmation.yes,yes it is
small_talk.confirmation.yes,yes right
small_talk.confirmation.yes,yes thank you
small_talk.confirmation.yes,yes that's 
small_talk.confirmation.yes,yes this is correct
small_talk.confirmation.yes,yes you may
small_talk.confirmation.yes,yup
small_talk.dont_know,Can't remember
small_talk.dont_know,Don't know
small_talk.dont_know,Don't remember
small_talk.dont_know,I don't have one
small_talk.dont_know,I don't have that
small_talk.dont_know,I don't have the card anymore
small_talk.dont_know,I don't have the card number
small_talk.dont_know,I don't know
small_talk.dont_know,I don't know it
small_talk.dont_know,I don't know where to find it
small_talk.dont_know,I have no idea
small_talk.dont_know,I haven't written it down
small_talk.dont_know,"I looked, but I cannot find it"
small_talk.dont_know,I wasn't given one
small_talk.dont_know,I'm not positive
small_talk.dont_know,I'm not sure
small_talk.dont_know,I'm unsure
small_talk.dont_know,I'm unsure where it is
small_talk.dont_know,I've not got it
small_talk.dont_know,No idea
small_talk.dont_know,Not positive
small_talk.dont_know,Not sure
small_talk.dont_know,Where do I find it?
small_talk.dont_know,can't find it
small_talk.dont_know,lost it
small_talk.dont_know,misplaced the number
small_talk.dont_know,not available
take last four,last 4
take last four,last four
take last four,test last four
test,I'm testing
test,Only a test
test,show me a test
test,test
test,testing
test,this is a test
transferIntent,I want to transfer $ 100
transferIntent,transfer 1000 please
transferIntent,transfer 200 to Charlie
